ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile
Abraham_Lincoln,Was Lincoln chosen as a presidential candidate in 1860?,Yes,easy,easy,S08_set3_a4
Abraham_Lincoln,How old was Lincoln in 1816?,seven,medium,medium,S08_set3_a4
Abraham_Lincoln,When was the first photgraph of lincoln taken?,1846,medium,medium,S08_set3_a4
Abraham_Lincoln,How long was Lincoln's legal Career?,23 years,medium,medium,S08_set3_a4
Abraham_Lincoln,What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong",hard,hard,S08_set3_a4
Abraham_Lincoln,Did Abraham Lincoln live in the Frontier?,Yes,hard,medium,S08_set3_a4
Abraham_Lincoln,Did Lincoln's Wife's Family support slavery?,Yes,hard,medium,S08_set3_a4
beetle,Are beetles insects?,Yes,easy,easy,S08_set1_a8
beetle,Can beetles be found in polar regions?,No,easy,hard,S08_set1_a8
beetle,Do beetles antennae function primarily as organs of smell?,Yes,easy,easy,S08_set1_a8
beetle,What are the three sections of a beetle?,"the head, the thorax, and the abdomen",medium,medium,S08_set1_a8
beetle,Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry,medium,easy,S08_set1_a8
beetle,Which type of beetle is a pest of potato plants?,Colorado potato beetle,medium,easy,S08_set1_a8
beetle,How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",hard,medium,S08_set1_a8
beetle,What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.",hard,hard,S08_set1_a8
beetle,What are the similarities between beetles and grasshoppers?,mouthparts,hard,medium,S08_set1_a8
beetle,Are certain species of beetles considered pests?,Yes,easy,easy,S08_set1_a8
beetle,Is a beetle's general anatomy uniform?,Yes,easy,medium,S08_set1_a8
beetle,Are beetles endopterygotes?,yes,easy,easy,S08_set1_a8
beetle,How many species of beetles are there?,"350,000",medium,medium,S08_set1_a8
beetle,When are sperm cells transferred to the female?,during pairing,medium,hard,S08_set1_a8
beetle,What is the study of beetles called?,coleopterology,medium,medium,S08_set1_a8
beetle,"Is it possible that there are more than 350,000 species of beetles?",yes,hard,hard,S08_set1_a8
beetle,Is the Adephaga suborder larger than the Polyphaga suborder?,no,hard,hard,S08_set1_a8
beetle,Do carrion beetles eat dung?,no,hard,medium,S08_set1_a8
Calvin_Coolidge,Was Calvin Coolidge the twenty-ninth vice president?,no,easy,easy,S08_set3_a9
Calvin_Coolidge,"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes,easy,easy,S08_set3_a9
Calvin_Coolidge,Did Coolidge graduate from Black River Academy?,yes,easy,easy,S08_set3_a9
Calvin_Coolidge,When did he drop John from his name?,upon graduating from college,medium,medium,S08_set3_a9
Calvin_Coolidge,When did Coolidge meet and marry Grace Anna Goodhue?,1905,medium,medium,S08_set3_a9
Calvin_Coolidge,What period of rapid economic growth did the United States experience during Coolidge's presidency?,the Roaring Twenties,medium,medium,S08_set3_a9
Calvin_Coolidge,What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, MassachuS08_setts",hard,medium,S08_set3_a9
Calvin_Coolidge,Of what state was Coolidge governor?,MassachuS08_setts,hard,medium,S08_set3_a9
Calvin_Coolidge,Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,hard,medium,S08_set3_a9
Calvin_Coolidge,Was Coolidge the thirteenth President of the United States?,No,easy,easy,S08_set3_a9
Calvin_Coolidge,Was Calvin Coolidge Republican?,Yes,easy,easy,S08_set3_a9
Calvin_Coolidge,Was Calvin Coolidge a governor of MassachuS08_setts?,Yes,easy,medium,S08_set3_a9
Calvin_Coolidge,When was Coolidge born?,July 4 1872,medium,medium,S08_set3_a9
Calvin_Coolidge,Where did Coolidge's grandfather had government offices?,Plymouth,medium,medium,S08_set3_a9
Calvin_Coolidge,Which state were Coolidge born in?,"Plymouth, Windsor County, Vermont",medium,medium,S08_set3_a9
Calvin_Coolidge,Is Calvin Jr. older than John Coolidge?,No,hard,hard,S08_set3_a9
Calvin_Coolidge,Did Coolidge get in Amherst College?,Yes,hard,medium,S08_set3_a9
Calvin_Coolidge,What caused Calvin Jr.'s death?,heart attack,hard,hard,S08_set3_a9
Calvin_Coolidge,Was John Calvin Coolidge Jr. was born in Las Vegas?,No,easy,easy,S08_set3_a9
Calvin_Coolidge,Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,Yes,easy,medium,S08_set3_a9
Calvin_Coolidge,Did Coolidge meet and marry Grace Anna Goodhue?,Yes,easy,easy,S08_set3_a9
Calvin_Coolidge,What year did Coolidge open his own law office?,1898,medium,medium,S08_set3_a9
Calvin_Coolidge,What fraternity was Coolidge a member of?,Phi Gamma Delta,medium,medium,S08_set3_a9
Calvin_Coolidge,In 1905 Coolidge met and married whom?,Grace Anna Goodhue,medium,medium,S08_set3_a9
Calvin_Coolidge,Why did Coolidge not attend law school?,It was too expensive,hard,hard,S08_set3_a9
Calvin_Coolidge,Have there been other US presidents that have visited Cuba?,No,hard,medium,S08_set3_a9
Calvin_Coolidge,What years were Coolidge's two sons born in?,1906 and 1908,hard,medium,S08_set3_a9
Canada,Did France cede nearly all of its colonies in Europe in 1763?,Yes.,easy,easy,S08_set2_a8
Canada,Is Canada a member of the OECD?,Yes.,easy,easy,S08_set2_a8
Canada,Is Canada's official language Zulu?,No.,easy,easy,S08_set2_a8
Canada,What is one significant non-official language?,Chinese.,medium,medium,S08_set2_a8
Canada,"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?",Quebec City,medium,medium,S08_set2_a8
Canada,What was the Consitution Act formerly called?,The British North America Act.,medium,hard,S08_set2_a8
Canada,Which countries established colonies in Canada?,France and Britain.,hard,hard,S08_set2_a8
Canada,How has Canada helped UN peacekeeping efforts?,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",hard,medium,S08_set2_a8
Canada,What percentage of the population don't speak English or French at home?,28%,hard,too hard,S08_set2_a8
Canada,Is Canada bilingual?,Yes.,easy,easy,S08_set2_a8
Canada,Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,Yes,easy,easy,S08_set2_a8
Canada,Is an official language of Canada German?,No.,easy,easy,S08_set2_a8
Canada,How many provinces and territories does Canada have?,A federation now comprising ten provinces and three territories,medium,medium,S08_set2_a8
Canada,What is Canada's national unemployment rate?,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. ",medium,medium,S08_set2_a8
Canada,Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,medium,medium,S08_set2_a8
Canada,What is the largest country in the world?,"Canada is the second largest country in the world, after Russia, and largest on the continent.",hard,medium,S08_set2_a8
Canada,What is the largest religious group in Canada?,"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%. ",hard,hard,S08_set2_a8
Canada,When did Canada have one of the largest armed forces in the world?,1944,hard,hard,S08_set2_a8
duck,Are ducks in the Arctic Northern Hemisphere migratory?,Some are,easy,medium,S08_set1_a10
duck,Is a drake a male?,Yes,easy,medium,S08_set1_a10
duck,"Do all ducks ""quack""?",No,easy,medium,S08_set1_a10
duck,What is the name of a specialized species of duck adapted to catch large fish?,the smew,medium,medium,S08_set1_a10
duck,What animal attracts the most humor and silliness?,The duck,medium,medium,S08_set1_a10
duck,What is an economic use of a duck?,Meat,medium,medium,S08_set1_a10
duck,Who is Daffy Duck?,A silly cartoon character,hard,hard,S08_set1_a10
duck,What makes it more difficult for a diving duck to fly?,They are heavier,hard,hard,S08_set1_a10
duck,What are the reasons for hunting wild ducks?,"Meat, eggs, and feathers",hard,too hard,S08_set1_a10
duck,Do ducks forage underwater?,yes,easy,easy,S08_set1_a10
duck,Is foie gras often made from ducks?,yes,easy,easy,S08_set1_a10
duck,What economic uses to ducks have?,"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos.",medium,medium,S08_set1_a10
duck,What kind of ducks feed on land?,Dabbling ducks,medium,easy,S08_set1_a10
duck,What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",medium,easy,S08_set1_a10
duck,What does the word duck mean?,It is the common name for a number of species in the Anatidae family of birds.,hard,hard,S08_set1_a10
duck,What are some common predators of ducks?,"Pike, crocodilians, herons, hawks and eagles.",hard,hard,S08_set1_a10
duck,How does a Mallard's tongue work?,"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat",hard,hard,S08_set1_a10
duck,Are diving ducks heavier tha dabbling ducks?,Yes,easy,easy,S08_set1_a10
duck,Are adult ducks fast fliers?,Yes,easy,easy,S08_set1_a10
duck,Are ducks an accepted presence in some populated areas?,Yes,easy,easy,S08_set1_a10
duck,What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",medium,medium,S08_set1_a10
duck,Why are ducklings particularly vulnerable?,Their inability to fly.,medium,medium,S08_set1_a10
duck,What are some economic uses for duck?,"Meat,eggs,feathers",medium,medium,S08_set1_a10
duck,What allows a duck to filter water out of the side of their beaks and keep food inside?,Tiny rows of plates called lamellae,hard,hard,S08_set1_a10
duck,What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck,hard,hard,S08_set1_a10
duck,"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",hard,hard,S08_set1_a10
Egypt,Is Egypt bordered by the Gaza Strip?,yes,easy,easy,S08_set2_a6
Egypt,Is Egypt the most populated country in Africa?,no,easy,medium,S08_set2_a6
Egypt,Does Egypt have political influence in the Middle East?,yes,easy,easy,S08_set2_a6
Egypt,When was the Six Day War?,1967,medium,easy,S08_set2_a6
Egypt,What religions has Egypt outlawed?,"All but Christianity, Islam, and Judaism",medium,hard,S08_set2_a6
Egypt,What is the poulation of Egypt?,more than 78 million,medium,easy,S08_set2_a6
Egypt,Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,",hard,medium,S08_set2_a6
Egypt,Are there a large number of Jews living in Egypt today?,no,hard,medium,S08_set2_a6
Egypt,During what period was Akhenaten a Pharaoh?,The New Kingdom (c.1550&#8722;1070 BC) ,hard,hard,S08_set2_a6
Egypt,Is Egypt in Asia?,No.,easy,easy,S08_set2_a6
Egypt,Does Egypt receive the least rainfall in the world?,Yes.,easy,easy,S08_set2_a6
Egypt,Does Egypt's foreign policy operates along moderate lines?,Yes.,easy,easy,S08_set2_a6
Egypt,Since when has Egypt been a republic?,June 18 1953.,medium,medium,S08_set2_a6
Egypt,When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom.,medium,medium,S08_set2_a6
Egypt,What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel.",medium,hard,S08_set2_a6
Egypt,What is the estimated population of Egypt?,More than 78 million.,hard,hard,S08_set2_a6
Egypt,Does snow fall in Egypt?,Yes.,hard,hard,S08_set2_a6
Egypt,When did organized agriculture appear in the Nile Valley?,6000 BC.,hard,medium,S08_set2_a6
elephant,Are elephants the largest land animals alive today?,yes,easy,easy,S08_set1_a5
elephant,Can an elephant kill a rhinoceros?,yes,easy,hard,S08_set1_a5
elephant,Are elephants good swimmers?,yes,easy,easy,S08_set1_a5
elephant,How many living species of African Elephants are there?,2,medium,hard,S08_set1_a5
elephant,How long may elephants live?,70 years,medium,medium,S08_set1_a5
elephant,Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory,medium,hard,S08_set1_a5
elephant,How many living species of Asian Elephants are there?,1,hard,hard,S08_set1_a5
elephant,How much do elephants weight at birth?,120 kilograms,hard,medium,S08_set1_a5
elephant,What did Aristotle say about elephants?,the beast which pasS08_seth all others in wit and mind,hard,hard,S08_set1_a5
elephant,Are elephant populations in West Africa generally small and fragmented?,yes,easy,easy,S08_set1_a5
elephant,Is the Asian elephant larger than the African?,no,easy,easy,S08_set1_a5
elephant,Is an elephant's skin tough?,yes,easy,easy,S08_set1_a5
elephant,How do elephants communicate over long distances?,by producing and receiving low frequency sound,medium,medium,S08_set1_a5
elephant,When do African elephants lie down?,when they are sick or wounded,medium,medium,S08_set1_a5
elephant,How long is the elephant's gestation period?,22 months,medium,medium,S08_set1_a5
elephant,How many species of African elephants have been proposed?,three,hard,hard,S08_set1_a5
elephant,What are the elephant's ears important for?,temperature regulation,hard,medium,S08_set1_a5
elephant,What land animal has the largest brain?,elephant,hard,medium,S08_set1_a5
elephant,Are elephants mammals?,yes,easy,easy,S08_set1_a5
elephant,Have elephants been used as working animals?,yes,easy,easy,S08_set1_a5
elephant,Do they prefer forested areas?,Yes,easy,easy,S08_set1_a5
elephant,What is the world population of Asian elephants?,60000,medium,medium,S08_set1_a5
elephant,What part of an elephant is very important for temperature regulation?,Ears,medium,medium,S08_set1_a5
elephant,Where was the largest elephant ever recorded shot?,Angola,medium,medium,S08_set1_a5
elephant,Is an Asian elephant smaller than an African elephant?,yes,hard,hard,S08_set1_a5
elephant,What land animal is larger than an elephant?,None,hard,hard,S08_set1_a5
elephant,Has tusklessness become a rare abnormality?,No,hard,hard,S08_set1_a5
Finland,Were the treaties signed in 1947 and 1948 with the Ukraine?,no,easy,easy,S08_set2_a4
Finland,Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,yes,easy,easy,S08_set2_a4
Finland,Is the most read newspaper in Finland Taloussanomat?,no,easy,easy,S08_set2_a4
Finland,Which Russian army general conquered Finland in 1809?,Alexander I,medium,hard,S08_set2_a4
Finland,What is the life expectancy for men in Finland?,75 years,medium,medium,S08_set2_a4
Finland,"In what year were the ""Games of the XV Olympiad"" held?",1952,medium,medium,S08_set2_a4
Finland,What body of water lies to the south of Finland?,the Gulf of Finland,hard,hard,S08_set2_a4
Finland,Name an animal that is growing in number due to recent conservation efforts,"Golden Eagle, Brown Bear, or Eurasian Lynx (Change imperative to interrogative)",hard,hard,S08_set2_a4
Finland,"Today, are there more cell phone subscriptions than people in Finland?",yes,hard,too hard,S08_set2_a4
Finland,Is Matti Vanhanen the Prime Minister of Finland?,yes,easy,easy,S08_set2_a4
Finland,Is the capital city Oslo?,no,easy,easy,S08_set2_a4
Finland,Does it have a border with Norway?,yes,easy,medium,S08_set2_a4
Finland,What is the life expectancy for men?,75 years,medium,medium,S08_set2_a4
Finland,What is the biggest city in Finland?,Greater Helsinki,medium,hard,S08_set2_a4
Finland,Who is the most popular rock group in Finland?,CMX,medium,medium,S08_set2_a4
Finland,What is Finland's economy like?,"a highly industrialised, free-market economy",hard,medium,S08_set2_a4
Finland,Where is Finland located?,Northern Europe,hard,medium,S08_set2_a4
Finland,What is the weather like in summer?,relatively warm,hard,medium,S08_set2_a4
Finland,Does salmon remain the favorite of fly rod enthusiasts?,Yes,easy,easy,S08_set2_a4
Finland,Are there cathedrals scattered all across Finland?,Yes,easy,easy,S08_set2_a4
Finland,"According to Reader's Digest, is Finland best for living?",Yes,easy,easy,S08_set2_a4
Finland,When did the first verifiable written documents appear?,Twelfth Century,medium,medium,S08_set2_a4
Finland,What is the capital city?,Helsinki,medium,medium,S08_set2_a4
Finland,What is the most extensively celebrated holiday?,Christmas,medium,medium,S08_set2_a4
Finland,Does a large proportion of the population speak Swedish as its mother tongue?,No,hard,hard,S08_set2_a4
Finland,Do women live longer than men?,Yes,hard,hard,S08_set2_a4
Finland,What is a country with which Finland is involved in an international conflict?,None,hard,hard,S08_set2_a4
Gerald_Ford,Was Ford a member of the House of Representatives?,Yes,easy,easy,S08_set3_a10
Gerald_Ford,For how long was Ford a member of the House of Representatives?,Over eight years.,medium,medium,S08_set3_a10
Gerald_Ford,Was Gerald Ford a member of Delta Kappa Epsilon?,Yes,easy,easy,S08_set3_a10
Gerald_Ford,"Did ford get an award called ""Congressman's congressman""?",Yes,easy,easy,S08_set3_a10
Gerald_Ford,Did ford attend the University of Michigan?,Yes,easy,easy,S08_set3_a10
Gerald_Ford,What positions Ford played in the school football team?,Center and linebacker,medium,medium,S08_set3_a10
Gerald_Ford,What did Ford say about his biological father?,He was abusive and had a history of hitting his mother.,medium,medium,S08_set3_a10
Gerald_Ford,Who did Ford nominate for Vice President?,Bob Dole,medium,hard,S08_set3_a10
Gerald_Ford,Was Ford active about Vietnamese affairs?,Yes,hard,too hard,S08_set3_a10
Gerald_Ford,Had Ford's wife married before?,Yes,hard,hard,S08_set3_a10
Gerald_Ford,Is Ford related with the assassination of John F. Kennedy?,Yes,hard,medium,S08_set3_a10
Gerald_Ford,Was Gerald Ford the 38th President of the United States?,yes,easy,easy,S08_set3_a10
Gerald_Ford,Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,yes,easy,easy,S08_set3_a10
Gerald_Ford,Was Ford an Eagle Scout?,yes,easy,easy,S08_set3_a10
Gerald_Ford,What district was Ford elected from?,Michigan's 5th congressional district,medium,medium,S08_set3_a10
Gerald_Ford,How many Eagle Scouts were involved in Ford's funeral procession?,400,medium,medium,S08_set3_a10
Gerald_Ford,Which future Heisman Trophy winner did Ford tackle?,Jay Berwanger,medium,hard,S08_set3_a10
Gerald_Ford,Has another US President been an Eagle Scout?,no,hard,hard,S08_set3_a10
Gerald_Ford,Did Ford need to do extra work to pay for college?,yes,hard,medium,S08_set3_a10
Gerald_Ford,Have more than five Presidents lived past the age of 90?,no,hard,hard,S08_set3_a10
Ghana,Does Ghana have twice the per capita output of the poorer countries in West Africa?,yes,easy,easy,S08_set2_a5
Ghana,Is English Ghana's official language?,yes,easy,easy,S08_set2_a5
Ghana,Did the Dutch build the Elmina Castle?,No,easy,medium,S08_set2_a5
Ghana,When did Ghana achieve independence from the United Kingdom?,1957,medium,medium,S08_set2_a5
Ghana,How many regions is Ghana divided into?,10,medium,easy,S08_set2_a5
Ghana,Who is the head of state of Ghana?,President John Agyekum Kofuor,medium,easy,S08_set2_a5
Ghana,What is the dominant religion in Ghana?,Christian,hard,hard,S08_set2_a5
Ghana,What are the two subfamilies of the Native Ghanaian languages?,Kwa and Gur,hard,hard,S08_set2_a5
Ghana,What is the weather like at Lake Volta?,Warm and comparatively dry,hard,hard,S08_set2_a5
Ghana,Is Ghana in Asia?,no,easy,easy,S08_set2_a5
Ghana,Is English the official language?,yes,easy,easy,S08_set2_a5
Ghana,Is Ghana's head of state John Agyekum Kufuor?,yes,easy,easy,S08_set2_a5
Ghana,What does the word Ghana mean?,warrior king,medium,medium,S08_set2_a5
Ghana,Who was Kwame Nkrumah?,founder and first president,medium,medium,S08_set2_a5
Ghana,Where is old Ghana in relation to present Ghana?,500 miles north,medium,medium,S08_set2_a5
Ghana,Who makes up Ghana's Parliament?,the New Patriotic Party and National Democratic Congress,hard,hard,S08_set2_a5
Ghana,What European countries established states in Ghana?,The UK,hard,too hard,S08_set2_a5
Gray_Wolf,Does the Gray Wolf share an ancestry with the domestic dog?,Yes,easy,too easy,S08_set1_a6
Gray_Wolf,Do wolf pups tend to have darker fur than adults?,Yes,easy,too easy,S08_set1_a6
Gray_Wolf,Do wolves leave their pack?,Yes,easy,medium,S08_set1_a6
Gray_Wolf,What kinds of coats do wolves have?,bulky coats with two layers,medium,medium,S08_set1_a6
Gray_Wolf,Where do wolves have scent glands?,Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.,medium,medium,S08_set1_a6
Gray_Wolf,How much do wolves weigh?,typically varies between 32 and 62 kilograms,medium,medium,S08_set1_a6
Gray_Wolf,Why do wolves howl?,"Howling helps pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances. Howling also helps to call pack members to a specific location. Howling can also serve as a declaration of territory, as shown in a dominant wolf&apos;s tendency to respond to a human imitation of a ""rival"" wolf in an area the wolf considers its own. ",hard,hard,S08_set1_a6
Gray_Wolf,What is surplus killing?,Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting.,hard,medium,S08_set1_a6
Gray_Wolf,Are Gray Wolves native to North America?,Yes,hard,easy,S08_set1_a6
Gray_Wolf,Is the Gray Wolf a mammal?,Yes,easy,easy,S08_set1_a6
Gray_Wolf,Are a wolf's teeth its main weapons?,Yes,easy,easy,S08_set1_a6
Gray_Wolf,Are wolves built for stamina?,Yes,easy,easy,S08_set1_a6
Gray_Wolf,Where is the largest gray wolf population thought to be found?,Kazakhstan,medium,hard,S08_set1_a6
Gray_Wolf,To what genus does the gray wolf belong?,Canis,medium,medium,S08_set1_a6
Gray_Wolf,When do wolves molt?,Late Spring or Early Summer,medium,medium,S08_set1_a6
Gray_Wolf,Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,A pack can only suppport one littler per year,hard,hard,S08_set1_a6
Gray_Wolf,What type of tools do biologists use to capture wolves for tagging?,Darting and Foot hold traps.,hard,hard,S08_set1_a6
Gray_Wolf,"Forward, erect ears and slightly bristle hackles are a sign of what in wolves?",Dominance,hard,hard,S08_set1_a6
Grover_Cleveland,Was Grover Cleveland born in New York?,no,easy,easy,S08_set3_a6
Grover_Cleveland,Did Grover Cleveland win the 1884 election?,yes,easy,easy,S08_set3_a6
Grover_Cleveland,Did Grover Cleveland support women's suffrage?,No,easy,medium,S08_set3_a6
Grover_Cleveland,Where was Grover Cleveland married?,In the White House,medium,easy,S08_set3_a6
Grover_Cleveland,What did Cleveland die from?,A heart attack,medium,easy,S08_set3_a6
Grover_Cleveland,How many years after Cleveland left office did the U.S. win the Spanish-American War?,One Year,medium,medium,S08_set3_a6
Grover_Cleveland,What did Cleveland's opponents say in 1884 to counter his innocent image?,That he had fathered an illegitimate child,hard,hard,S08_set3_a6
Grover_Cleveland,Who did Cleveland run against in 1884?,former Senator James G. Blaine of Maine,hard,easy,S08_set3_a6
Grover_Cleveland,Why did Cleveland want to hide his cancer surgery from the public?,To avoid further market panic,hard,medium,S08_set3_a6
Grover_Cleveland,Was Grover Cleveland the twenty-seventh president of the United States?,No.,easy,easy,S08_set3_a6
Grover_Cleveland,Is Grover Cleveland honest?,Yes.,easy,easy,S08_set3_a6
Grover_Cleveland,Was Grover Cleveland married in the whitehouse?,Yes.,easy,easy,S08_set3_a6
Grover_Cleveland,"When was he elected sheriff of Erire County, New York?",Yes.,medium,easy,S08_set3_a6
Grover_Cleveland,When did he die?,June 24 1908,medium,medium,S08_set3_a6
Grover_Cleveland,Which election did Grover Cleveland win?,1884 and 1892 presidential elections,medium,hard,S08_set3_a6
Grover_Cleveland,Who were Grover Cleveland's parents?,"Cleveland was born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal.",hard,too hard,S08_set3_a6
Grover_Cleveland,How many children did Grover Cleveland have?,5,hard,hard,S08_set3_a6
Indonesia,Are the Javanese the largest and politically dominant ethnic group in Indonesia?,yes,easy,easy,S08_set2_a10
Indonesia,Is Indonesia a monarchy with a presidential system?,no,easy,easy,S08_set2_a10
Indonesia,Did the Japanese invasion and subsequent occupation during WWII end Dutch rule?,yes,easy,easy,S08_set2_a10
Indonesia,In what year did East Timor secede from Indonesia?,1999,medium,medium,S08_set2_a10
Indonesia,When did Islam become the dominant religion in Java and Sumatra?,the end of the 16th century,medium,medium,S08_set2_a10
Indonesia,Does Indonesia have the world's hightest level of biodiversity?,no,medium,easy,S08_set2_a10
Indonesia,Was Indonesia named after it became an independent country?,no,hard,hard,S08_set2_a10
Indonesia,Why did Indonesia break off relations with the People's Republic of China?,because of anti-communist purges early in the Suharto era,hard,too hard,S08_set2_a10
Indonesia,Which spice originally attracted Europeans to Indonesia?,"nutmeg, cloves, or cubeb pepper",hard,hard,S08_set2_a10
James_Monroe,Is James Monrow the fifth president of US?,Yes,easy,easy,S08_set3_a2
James_Monroe,What is the first word on the page?,James,easy,too easy,S08_set3_a2
James_Monroe,What is the first number on the page?,28,easy,too easy,S08_set3_a2
James_Monroe,When did Monroe's presidency expired?,"March 4, 1825",medium,medium,S08_set3_a2
James_Monroe,What is Monroe's father's name?,Spence,medium,medium,S08_set3_a2
James_Monroe,What is Monroe's daughter's name?,Maria Hester Monroe Gouverneur,medium,medium,S08_set3_a2
James_Monroe,"What does ""Era of Good Feelings"" refers to?",Reduced tension,hard,medium,S08_set3_a2
James_Monroe,Did Monroe' wedding happen at the Trinity Church in New York?,Yes,hard,easy,S08_set3_a2
James_Monroe,What is Monroe Doctrine?,A doctrine declaring U.S. opposition to European interference in the Americas.,hard,medium,S08_set3_a2
James_Monroe,Was James Monroe President of the United States?,yes,easy,easy,S08_set3_a2
James_Monroe,Did James Monroe attend the College of William and Mary?,yes,easy,easy,S08_set3_a2
James_Monroe,Did James Monroe fight in the Continental Army?,yes,easy,easy,S08_set3_a2
James_Monroe,Where was James Monroe born?,"Westmoreland County, Virginia",medium,medium,S08_set3_a2
James_Monroe,Where was James Monroe shot?,"at the Battle of Trenton, in his left shoulder",medium,medium,S08_set3_a2
James_Monroe,Who did James Monroe marry?,Elizabeth Kortright,medium,medium,S08_set3_a2
James_Monroe,What did James Monroe do before being elected governor?,He practiced law in Virginia.,hard,medium,S08_set3_a2
James_Monroe,In which years were John Monroe elected as President?,1817-1825,hard,medium,S08_set3_a2
James_Monroe,Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?,George Washington,hard,medium,S08_set3_a2
